Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL	
TGCOUG_297060	TGCOUG_297060-t46_1	Toxoplasma gondii COUG	KZ624826.1:813,079..816,960(+)	phosphoglycerate mutase PGMII	GO:0005737	cytoplasm	GO:0004082;GO:0003824;GO:0016868;GO:0004619	bisphosphoglycerate mutase activity;catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent));5.4.2.4 (Bisphosphoglycerate mutase)	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
TGMAS_226960A	TGMAS_226960A-t30_1	Toxoplasma gondii MAS	KN044633:208,551..209,248(-)	phosphofructokinase PFKII	GO:0005945;GO:0005737	6-phosphofructokinase complex;cytoplasm	GO:0003872;GO:0047334	6-phosphofructokinase activity;diphosphate-fructose-6-phosphate 1-phosphotransferase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
TGME49_245670	TGME49_245670-t26_1	Toxoplasma gondii ME49	TGME49_chrXII:2,458,250..2,464,366(+)	pyruvate dehydrogenase complex subunit PDH-E1Alpha	GO:0043231	intracellular membrane-bounded organelle	GO:0003824;GO:0016624;GO:0004739;GO:0030976	catalytic activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;pyruvate dehydrogenase (acetyl-transferring) activity;thiamine pyrophosphate binding	GO:0006086;GO:0008152	acetyl-CoA biosynthetic process from pyruvate;metabolic process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	
TGME49_318190	TGME49_318190-t26_1	Toxoplasma gondii ME49	TGME49_chrIV:1,489,127..1,501,589(-)	phosphoglycerate mutase family protein	N/A	N/A	GO:0003824;GO:0016868;GO:0004619	catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.1 (Transferred entry: 5.4.2.11 and 5.4.2.12)	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
TGRUB_222020	TGRUB_222020-t30_1	Toxoplasma gondii RUB	KN039993:1,529,776..1,534,923(-)	phosphoglycerate kinase PGKII	GO:0020011	apicoplast	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
TGVAND_268860	TGVAND_268860-t30_1	Toxoplasma gondii VAND	KN042478:509,384..511,212(+)	enolase 1	GO:0005737;GO:0005634;GO:0000015	cytoplasm;nucleus;phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
TM35_000142920	TM35_000142920-t36_1	Trypanosoma theileri isolate Edinburgh	NBCO01000014:532,420..533,931(+)	3-phosphoglycerate kinase, glycosomal	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
Tb427_010006500	Tb427_010006500.1	Trypanosoma brucei Lister strain 427 2018	Chr1_core_Tb427v10:40,203..41,525(-)	Phosphoglycerate kinase, putative	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
Tbg972.10.3600	Tbg972.10.3600:mRNA	Trypanosoma brucei gambiense DAL972	Tbg972_10:694,696..695,985(+)	enolase, putative	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	GO:0097014;GO:0005737;GO:0005829	ciliary plasm;cytoplasm;cytosol	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
TcCLB.506247.330	TcCLB.506247.330:mRNA	Trypanosoma cruzi CL Brener Non-Esmeraldo-like	TcChr37-P:158,741..160,405(+)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, putative	GO:0005737	cytoplasm	GO:0003824;GO:0030145;GO:0046872;GO:0004619	catalytic activity;manganese ion binding;metal ion binding;phosphoglycerate mutase activity	GO:0006007;GO:0008152	glucose catabolic process;metabolic process	GO:0097014;GO:0005737;GO:0005829;GO:0005654	ciliary plasm;cytoplasm;cytosol;nucleoplasm	GO:0046537	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	5.4.2.1 (Transferred entry: 5.4.2.11 and 5.4.2.12)	5.4.2.12 (Phosphoglycerate mutase (2,3-diphosphoglycerate-independent))	
TcCLB.506835.70	TcCLB.506835.70:mRNA	Trypanosoma cruzi CL Brener Non-Esmeraldo-like	TcChr32-P:890,728..892,311(+)	PAS-domain containing phosphoglycerate kinase, putative	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096;GO:0006355	glycolytic process;regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
TvY486_1102390	TvY486_1102390:mRNA	Trypanosoma vivax Y486	TvY486_11:685,513..687,900(+)	phosphoglycerate kinase, putative	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	GO:0020015	glycosome	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
YYE_03360	YYE_03360-t30_1	Plasmodium vinckei vinckei strain vinckei	KL446950:748,400..753,101(+)	glutamine synthetase	N/A	N/A	GO:0003824;GO:0004356;GO:0004618	catalytic activity;glutamate-ammonia ligase activity;phosphoglycerate kinase activity	GO:0006542;GO:0006096;GO:0006807	glutamine biosynthetic process;glycolytic process;nitrogen compound metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase);6.3.1.2 (Glutamine synthetase)	2.7.2.3 (Phosphoglycerate kinase)	
AK88_03787	AK88_03787-t30_1	Plasmodium fragile strain nilgiri	KQ001690:139,075..141,186(-)	pyruvate kinase	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
ALNC14_096590	ALNC14_096590:RNA	Albugo laibachii Nc14	FR824242:11,023..12,503(+)	unspecified product	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	
BCY84_18673	BCY84_18673-t36_1	Trypanosoma cruzi Dm28c 2017	MBSY01000689:499,345..500,844(+)	pyruvate kinase 2	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	
BESB_045080	mrna.BESB_045080	Besnoitia besnoiti strain Bb-Ger1	CM008348.1:1,369,486..1,377,612(-)	unspecified product	N/A	N/A	GO:0003824;GO:0016868;GO:0004619	catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
BXIN_2507	BXIN_2507_t1	Babesia sp. Xinjiang Xinjiang	MBFZ01000029.1:216,544..217,557(+)	Glyceraldehyde-3-phosphate dehydrogenase	N/A	N/A	GO:0051287;GO:0050661;GO:0004365;GO:0016620	NAD binding;NADP binding;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0006006;GO:0006096;GO:0055114	glucose metabolic process;glycolytic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	
C3747_73g82	C3747_73g82-t42_1	Trypanosoma cruzi TCC	PRFC01000073:233,988..235,106(+)	fructose-bisphosphate aldolase, glycosomal	N/A	N/A	GO:0004332	fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
C922_00389	C922_00389-t30_1	Plasmodium inui San Antonio 1	KI965460:1,717,918..1,718,830(-)	triosephosphate isomerase	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
CFAC1_250021700	CFAC1_250021700.1	Crithidia fasciculata strain Cf-Cl	CfaC1_25:450,926..452,044(+)	fructose-1,6-bisphosphate aldolase	N/A	N/A	GO:0004332	fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	
CHUDEA7_910	CHUDEA7_910-t30_1	Cryptosporidium hominis UdeA01	LN877953:212,850..214,031(-)	unspecified product	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
CSUI_008029	CSUI_008029-t36_1	Cystoisospora suis strain Wien I	MIGC01004375:13,292..16,829(-)	triose-phosphate isomerase	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
Chro.20336	Chro.20336-t26_1	Cryptosporidium hominis TU502	AAEL01000093:9,740..11,443(-)	glucose-6-phosphate isomerase	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	
Cvel_31580	Cvel_31580.t1	Chromera velia CCMP2878	Cvel_scaffold4732:118..4,529(+)	Enolase, putative	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
DQ04_03621020	DQ04_03621020-t26_1	Trypanosoma grayi ANR4	JMRU01000362:2,127..2,882(+)	Triosephosphate isomerase, glycosomal	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006096;GO:0008152	glycolytic process;metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	
DQ04_04781080	DQ04_04781080-t26_1	Trypanosoma grayi ANR4	JMRU01000478:11,321..12,667(-)	phosphoglycerate kinase	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
EAH_00057900	EAH_00057900-t26_1	Eimeria acervulina Houghton	HG671429:7,395..8,207(-)	Fructose-bisphosphate aldolase , related	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
EDI_295250	EDI_295250A	Entamoeba dispar SAW760	DS549420:15,574..16,911(-)	glucokinase, putative	GO:0005623	obsolete cell	GO:0005524;GO:0005536;GO:0004396;GO:0016773	ATP binding;glucose binding;hexokinase activity;phosphotransferase activity, alcohol group as acceptor	GO:0005975;GO:0001678;GO:0006096	carbohydrate metabolic process;cellular glucose homeostasis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.1.1 (Hexokinase)	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.)	
EHI_072240	EHI_072240A	Entamoeba histolytica HM-1:IMSS	DS572143:1..676(-)	glucose-6-phosphate isomerase, putative	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
EfaB_MINUS_800.g79	EfaB_MINUS_800.g79.t1	Eimeria falciformis Bayer Haberkorn 1970	EfaB_Contig_800:152,461..158,660(-)	unspecified product	N/A	N/A	GO:0051745;GO:0046872	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding	GO:0050992;GO:0019288	dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	
EfaB_PLUS_43533.g2635	EfaB_PLUS_43533.g2635.t1	Eimeria falciformis Bayer Haberkorn 1970	EfaB_Contig_43533:92,891..94,756(+)	unspecified product	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	
GMRT_11927	GMRT_11927-t45_1	Giardia muris strain Roberts-Thomson	VDLU01000002:979,559..980,530(-)	Fructose-bisphosphate aldolase	N/A	N/A	GO:0016832;GO:0003824;GO:0004332;GO:0008270	aldehyde-lyase activity;catalytic activity;fructose-bisphosphate aldolase activity;zinc ion binding	GO:0005975;GO:0030388;GO:0006096	carbohydrate metabolic process;fructose 1,6-bisphosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
H257_03289	H257_03289-t26_1	Aphanomyces astaci strain APO3	KI913118:1,722,923..1,725,453(-)	hypothetical protein	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
H257_07361	H257_07361-t26_3	Aphanomyces astaci strain APO3	KI913128:513,535..515,985(+)	pyruvate kinase, variant 5	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
HEP_00199500	HEP_00199500_t1	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	CABPSV020000279:2..558(+)	enolase, putative	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
HpaG810321	HpaG810321:RNA	Hyaloperonospora arabidopsidis Emoy2	HaraEmoy2_SC0123:45,044..46,714(+)	unspecified product	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
LMARLEM2494_360029900	LMARLEM2494_360029900.1	Leishmania sp. MAR LEM2494	LMARLEM2494_36:919,301..920,539(+)	glucokinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	GO:0020015	glycosome	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	
LdCL_360018300	LdCL_360018300-t42_1	Leishmania donovani CL-SL	CP029535:473,141..474,256(+)	fructose-1,6-bisphosphate aldolase	N/A	N/A	GO:0004332	fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
LpyrH10_17_1420	rna_LpyrH10_17_1420	Leptomonas pyrrhocoris H10	LpyrH10_17:462,770..464,161(+)	Enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
NF0102490	mRNA1_NF0102490	Naegleria fowleri ATCC 30863	Nfow_scaffold00124:5,127..6,715(-)	pyruvate kinase	GO:0005840	ribosome	GO:0003824;GO:0000287;GO:0030955;GO:0004743;GO:0003735	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity;structural constituent of ribosome	GO:0006096;GO:0006412	glycolytic process;translation	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PBLACG01_0623400	PBLACG01_0623400-t36_1	Plasmodium blacklocki G01	PBLACG01_06:962,337..963,818(+)	hexokinase	N/A	N/A	GO:0005524;GO:0005536;GO:0004396;GO:0016773	ATP binding;glucose binding;hexokinase activity;phosphotransferase activity, alcohol group as acceptor	GO:0005975;GO:0001678;GO:0006096	carbohydrate metabolic process;cellular glucose homeostasis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.1.1 (Hexokinase)	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.)	
PBLACG01_1466900	PBLACG01_1466900-t36_1	Plasmodium blacklocki G01	PBLACG01_14:2,689,780..2,691,246(+)	1-deoxy-D-xylulose 5-phosphate reductoisomerase	N/A	N/A	GO:0030604;GO:0070402;GO:0016853;GO:0046872;GO:0005515	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;NADPH binding;isomerase activity;metal ion binding;protein binding	GO:0019288;GO:0008299;GO:0055114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;isoprenoid biosynthetic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	
PGABG01_0206900	PGABG01_0206900-t36_1	Plasmodium gaboni strain G01	PGABG01_02:257,929..258,808(+)	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	GO:0016021	integral component of membrane	GO:0008685;GO:0046872	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity;metal ion binding	GO:0019288;GO:0016114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;terpenoid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	4.6.1.12 (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase)	4.6.1.12 (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase)	
PHPALM_29947	PHPALM_29947-t46_1	Phytophthora palmivora var. palmivora strain sbr112.9	NCKW01016331:396..1,913(-)	Pyruvate kinase	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PHYCA_504523	PHYCA_504523T0	Phytophthora capsici LT1534	PcapLT1534_SC008:681,221..682,243(-)	 glyceraldehyde 3-phosphate dehydrogenase 	N/A	N/A	GO:0051287;GO:0050661;GO:0005488;GO:0003824;GO:0004365;GO:0008943;GO:0016620	NAD binding;NADP binding;binding;catalytic activity;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity;obsolete glyceraldehyde-3-phosphate dehydrogenase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0006006;GO:0006096;GO:0008152;GO:0055114	glucose metabolic process;glycolytic process;metabolic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	
PHYCI_35881	PHYCI_35881T0	Phytophthora cinnamomi var. cinnamomi CBS 144.22	PcinCBS144-22_SC1167:1..1,256(-)	Enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
PHYCI_99571	PHYCI_99571T0	Phytophthora cinnamomi var. cinnamomi CBS 144.22	PcinCBS144-22_SC0372:11,843..13,893(-)	Glucose-6-phosphate isomerase	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	
PHYSODRAFT_284519	PHYSODRAFT_284519-t26_1	Phytophthora sojae strain P6497	JH159151:10,753,177..10,754,518(-)	hypothetical protein	N/A	N/A	GO:0016832;GO:0003824;GO:0004332;GO:0008270	aldehyde-lyase activity;catalytic activity;fructose-bisphosphate aldolase activity;zinc ion binding	GO:0005975;GO:0006096	carbohydrate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
PHYSODRAFT_327211	PHYSODRAFT_327211-t26_1	Phytophthora sojae strain P6497	JH159152:11,067,222..11,067,692(+)	hypothetical protein	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PHYSODRAFT_525100	PHYSODRAFT_525100-t26_1	Phytophthora sojae strain P6497	JH159160:2,305,488..2,306,999(-)	hypothetical protein	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PITG_03723	PITG_03723-t26_1	Phytophthora infestans T30-4	DS028121:3,013,036..3,013,668(-)	pyruvate, phosphate dikinase, putative	N/A	N/A	GO:0005524;GO:0016301;GO:0050242	ATP binding;kinase activity;pyruvate, phosphate dikinase activity	GO:0016310;GO:0006090	phosphorylation;pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.9.1 (Pyruvate, phosphate dikinase)	
PIW_G004202	PIW_T004202-RA	Globisporangium iwayamae DAOM BR242034	PiwaDAOMBR242034_SC00499:13,566..15,308(-)	Enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PKNOH_S100051200	PKNOH_S100051200-t35_1	Plasmodium knowlesi strain Malayan Strain Pk1 A	NETL01000024:1,090,036..1,091,742(-)	Triosephosphate isomerase	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
PRCDC_1126800	PRCDC_1126800.1	Plasmodium reichenowi CDC	PrCDC_11_v3:1,020,940..1,026,353(-)	ATP-dependent 6-phosphofructokinase, putative	N/A	N/A	GO:0003872;GO:0046872	6-phosphofructokinase activity;metal ion binding	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.11 (6-phosphofructokinase)	
PRELSG_1124300	PRELSG_1124300.1	Plasmodium relictum SGS1-like	PRELSG_11_v1:957,502..958,977(-)	hexokinase, putative	N/A	N/A	GO:0005524;GO:0005536;GO:0004396;GO:0016773	ATP binding;glucose binding;hexokinase activity;phosphotransferase activity, alcohol group as acceptor	GO:0005975;GO:0001678;GO:0006096	carbohydrate metabolic process;cellular glucose homeostasis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.1.1 (Hexokinase)	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.)	
PSURA_72293	PSURA_72293T0	Phytophthora ramorum strain Pr102	PramPr-102_SC0133:51,314..52,348(+)	unspecified product	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	2.7.1.2 (Glucokinase)	
